customer_id,name,phone,email,existing_pincode
CUST-0151,Urishilla Deshmukh,6637398196,leela02@example.net,488232
CUST-0152,Anya Arora,8625798156,dakshkashyap@example.org,216651
CUST-0153,Gabriel Bir,0423950792,devkale@example.org,266149
CUST-0154,Ati Chana,0935979188,panini38@example.com,440933
CUST-0155,Imaran Zachariah,4127855576,rjani@example.org,140421
CUST-0156,Maya Krishna,0634892443,eta60@example.org,323318
CUST-0157,Eta Pai,7408579327,singhaashi@example.net,754785
CUST-0158,Vedhika Rastogi,2699875419,gaurilata@example.org,161357
CUST-0159,Bahadurjit Bala,4922652250,qpall@example.net,470357
CUST-0160,Yachana Dara,1685280185,caleb22@example.com,797861
CUST-0161,Anusha Jayaraman,7019221825,krishnamangal@example.org,523525
CUST-0162,Tanveer Pandit,0233899011,ubuch@example.com,327971
CUST-0163,Samesh Aurora,2611864680,eprabhu@example.net,340714
CUST-0164,Krishna Nigam,3826961463,tarabose@example.net,256378
CUST-0165,Isaac Warrior,6963384838,mandalikshita@example.com,468567
CUST-0166,Ikbal Barad,7479891199,svarughese@example.com,380908
CUST-0167,Aahana Grewal,6211329111,giyengar@example.net,542833
CUST-0168,Ati Mittal,3931574424,teerthravel@example.com,505173
CUST-0169,Baljiwan Oza,0366671705,zpall@example.net,400997
CUST-0170,Ishaan Chana,5218452545,anya60@example.com,637849
CUST-0171,Dalbir Sahota,4051371876,basakjanaki@example.org,394186
CUST-0172,Mohini Pant,9704507684,divya17@example.com,437173
CUST-0173,Veer Puri,0753090887,cbanerjee@example.net,606258
CUST-0174,Harsh Seshadri,1974609856,manya56@example.com,663503
CUST-0175,Samarth Prabhu,9786470960,riyaghose@example.net,224344
CUST-0176,Balendra Balasubramanian,1991411656,cbera@example.org,224180
CUST-0177,Krisha Pathak,3208320845,darikachaudhari@example.org,688291
CUST-0178,Lipika Raghavan,4157326831,suhani35@example.com,707041
CUST-0179,Samarth Uppal,0212017630,chaitaly84@example.org,766905
CUST-0180,Dipta Brar,9677941985,tristan25@example.net,227580
CUST-0181,Chameli Kar,0445665389,mohini34@example.com,311014
CUST-0182,Yatan Kota,9023718653,frado72@example.net,120970
CUST-0183,Manthan Chatterjee,2953484106,warjasramachandran@example.net,441725
CUST-0184,Nidra Chana,7560691369,oommenzaid@example.org,661843
CUST-0185,Gayathri Ravi,0092979964,toormeghana@example.com,791208
CUST-0186,Manbir Varghese,6170799790,aryapavani@example.org,788606
CUST-0187,Garima Patla,3129270613,lrao@example.org,554935
CUST-0188,Victor Shukla,6570617023,bhavikadoctor@example.com,464473
CUST-0189,Imaran Purohit,8603219696,xavier25@example.com,117082
CUST-0190,Maanas Mannan,0155380043,pathakjagrati@example.com,325188
CUST-0191,Saumya Bedi,7225009353,warindernori@example.com,313354
CUST-0192,Nachiket Bahl,3188580900,gaurangbhat@example.com,419260
CUST-0193,Shivani Kala,2156223225,hemani73@example.com,306413
CUST-0194,Dayita Dasgupta,2464282670,tram@example.org,263494
CUST-0195,Yutika Varty,6782623929,dgole@example.net,258805
CUST-0196,Fiyaz Bir,1653313245,bakshishivani@example.org,522428
CUST-0197,Forum Grewal,9999166100,schakraborty@example.net,228705
CUST-0198,Timothy Goel,2898910268,anvisathe@example.net,304524
CUST-0199,Hardik Bahl,6898387571,vasanakala@example.com,436975
